Key,en-US,it-IT,zh-CN
Acknowledge,Acknowledge,Riconosci,确认
AcknowledgeAll,Acknowledge All,Riconosci Tutti,
Confirm,Confirm,Conferma,证实
SourceName,Source Variable,Variabile Sorgente,源变量
Timestamp,Timestamp,Orario,时间戳
Name,Name,Nome,名称
Message,Message,Messaggio,消息
Active,Active,Attivo,活动
Acked,Acked,Riconosciuto,已应答
Confirmed,Confirmed,Confermato,已证实
Severity,Severity,Importanza,严重性
Rockwell Automation,Rockwell Automation,,
Google,Google,,
FTOptix,FTOptix,,
Export CSV File,Export CSV File,Esporta file CSV,
Auto Refresh,Auto Refresh,Aggiornamento automatico,
Select All,Select All,Seleziona tutto,
Refresh,Refresh,Ricarica,
Variable 2,Variable 2,Variabile 2,
Delete All,Delete All,Delete All,
Force,Force,,
Variable 1,Variable 1,Variabile 1,
Variable 3,Variable 3,Variabile 3,
Command,Command,Comando,
DropDownSelection,Selection via ComboBox,Selezione via ComboBox,
SetSpeed,Set Speed,Velocità,
SingleAndDoubleSignature,Single and Double Signature,Firma e Doppia Firma,
SingleInstancesOfMyMotor,Single Instances of MyMotor,Singole Istanze di MyMotor,
StringFormatter,String Formatter,Formattatore di Stringhe,
Style,Style,Stile,
TemplateLibraries,Template Libraries,Libreria dei Templates,
Translation,Translation,Traduzione,
TransmittedEvents,Transmitted Events,Eventi Trasmessi,
TrendQuery,Trend Query,Query su Grafico,
TypesAndInstances,Types And Instances,Tipi ed Istanze,
OPCUACompanionSpecifications,OPC/UA Companion Specifications,OPC/UA Companion Specs,
UIDesign,UI Design,Design UI,
UsersEditor,Users Editor,Editor Utenti,
UsersManagement,Users Management,Gestione Utenti,
Video,Video,Video,
WebBrowser,Web Browser,Web Browser,
XYChart,XY Chart,Grafico XY,
Accordion,Accordion,Accordion,
AdvancedSVG,Advanced SVG,SVG Avanzate,
Alarms,Alarms,Allarmi,
Alias,Alias,Alias,
Animations,Animations,Animazioni,
AnimationsOnBehavior,Value Change Animation,Animazione su Cambio Evento,
Audit,Audit,Audit,
Auditing,Auditing,Tracciatura,
CallMethodsFrom,Call Methods From,Chiamata di Metodi,
ConditionalConverter,Conditional Converter,Convertitore Condizionale,
Converters,Converters,Convertitori,
Data,Data,Dati,
Datalogger,Datalogger,Datalogger,
EngineeringUnitConverter,Engineering Unit Converter,Convertitore Unità Ingegneristiche,
ExpressionEvaluator,Expression Evaluator,Valutatore Espressioni,
Favorites,Favorites,Preferiti,
SideMenuHome,Features Demo Home,Pagina Iniziale Demo,
FileSigningWorkflow,File Signing Workflow,Creazione Firma File,
Grid,Data Grid,Griglia Dati,
HistogramChart,Histogram Chart,Grafico a Barre,
History,History,Storico,
IndexedDynamicLink,Indexed DynamicLink,DynamicLink Indicizzato,
KeyValueConverter,Key-Value Converter,Convertitore Chiave-Valore,
ListBoxSelection,Selection via ListBox,Selezione da ListBox,
Locales,Locales,,
Localization,Localization,Traduzioni,
Login,Login,Accesso,登录
Menu,Menu,Menu,
ObjectsDragging,Object Dragging,Trascinamento Oggetti,
ON,ON,ON,
OFF,OFF,OFF,
OOP,Object-oriented Programming,Programmazione ad Oggetti,
PDF,PDF,PDF,
OPCUA,OPC/UA,OPC/UA,
PieChart,Pie Chart,Grafico a Torta,
Process,Process,Processo,
Query,Query,Query,
Recipe,Recipe,Ricetta,
RelativePosition,Relative Position,Posizionamento Relativo,
Retentivity,Retentivity,Ritentività,
RuntimeUI,Runtime UI,Grafica a Runtime,
ScaleLayout,Scale Layout,Scale Layout,
AlarmsPerArea,Alarms per Area,Allarmi per Area,
AlarmsHistory,Alarms History,Storico Allarmi,
AlarmsGrid,Alarms Grid,Griglia Allarmi,
Aliases,Aliases,Aliases,
CompanionSpecifications,Companion Specifications,Companion Specifications,
MachineToMachine,Machine to Machine,Machine to Machine,
Recipes,Recipes,Ricette,
Reports,Reports,Reportistica,
Subtitle,Subtitle,Sottotitolo,
Title,Title,Titolo,
Translations,Translations,Traduzioni,
UI,User Interface,Interfaccia Utente,
UsersLogin,Users Login,Login Utenti,
