"Key","en-US","it-IT","zh-CN"
"Acknowledge","Ack","Riconosci","确认"
"AcknowledgeAll","Ack All","Riconosci Tutti","全部确认"
"Confirm","Confirm","Conferma","证实"
"SourceName","Source Variable","Variabile Sorgente","源变量"
"Timestamp","Timestamp","Orario","时间戳"
"Name","Name","Nome","名称"
"Message","Message","Messaggio","消息"
"Active","Active","Attivo","活动"
"Acked","Acked","Riconosciuto","已应答"
"Confirmed","Confirmed","Confermato","已证实"
"Severity","Severity","Importanza","严重性"
"Google","Google","Google",""
"FTOptix","FT Optix","FT Optix",""
"ExportCsvFile","Export CSV File","Esporta file CSV",""
"AutoRefresh","Auto Refresh","Aggiornamento automatico",""
"Refresh","Refresh","Ricarica","刷新"
"DeleteAll","Delete All","Elimina tutti",""
"Force","Force","Forza",""
"Command","Command","Comando","命令"
"DropDownSelection","Selection via ComboBox","Selezione via ComboBox","通过组合框进行选择"
"SetSpeed","Set Speed","Velocità","设置速度"
"SingleAndDoubleSignature","Single and Double Signature","Firma e Doppia Firma","单签名和双签名"
"SingleInstancesOfMyMotor","Single Instances of MyMotor","Singole Istanze di MyMotor","MyMotor 的单个实例"
"StringFormatter","String Formatter","Formattatore di Stringhe","字符串格式器"
"Style","Style","Stile","风格"
"TemplateLibraries","Template Libraries","Libreria dei Templates","模板库"
"Translation","Translation","Traduzione","翻译"
"TransitionedEvents","Transitioned Events","Eventi Trasmessi","已传输事件"
"Trend","Trend","Trend","趋势查询"
"TypesAndInstances","Types And Instances","Tipi ed Istanze","类型和实例"
"OPCUACompanionSpecifications","OPC/UA Companion Specifications","OPC/UA Companion Specs","OPC/UA 配套规范"
"UIDesign","UI Design","Design UI","UI 设计"
"UsersEditor","Users Editor","Editor Utenti","用户编辑器"
"UsersManagement","Users Management","Gestione Utenti","用户管理"
"Video","Video","Video","视频"
"WebBrowser","Web Browser","Web Browser","Web 浏览器"
"XYChart","XY Chart","Grafico XY","XY 图表"
"Accordion","Accordion","Accordion","可折叠项"
"AdvancedSVG","Advanced SVG","SVG Avanzate","高级 SVG"
"Alarms","Alarms","Allarmi","报警"
"Alias","Alias","Alias","别名"
"Animations","Animations","Animazioni","动画"
"AnimationsOnBehavior","Value Change Animation","Animazione su Cambio Evento","值变化动画"
"Audit","Audit","Audit","审计"
"Auditing","Auditing","Tracciatura","审计"
"CallMethodsFrom","Call Methods From","Chiamata di Metodi","调用方法自"
"ConditionalConverter","Conditional Converter","Convertitore Condizionale","条件转换器"
"Converters","Converters","Convertitori","转换器"
"Data","Data","Dati","数据"
"Datalogger","Datalogger","Datalogger","数据记录器"
"EngineeringUnitConverter","Engineering Unit Converter","Convertitore Unità Ingegneristiche","工程单位转换器"
"ExpressionEvaluator","Expression Evaluator","Valutatore Espressioni","表达式计算器"
"Favorites","Favorites","Preferiti","收藏夹"
"SideMenuHome","FEATURES DEMO HOME","FEATURES DEMO HOME","功能演示主页"
"FileSigningWorkflow","File Signing Workflow","Creazione Firma File","文件签名工作流"
"Grid","Data Grid","Griglia Dati","数据网格"
"HistogramChart","Histogram Chart","Grafico a Barre","柱状图"
"History","History","Storico","历史"
"IndexedDynamicLink","Indexed DynamicLink","DynamicLink Indicizzato","索引的动态链接"
"KeyValueConverter","Key-Value Converter","Convertitore Chiave-Valore","键-值转换器"
"ListBoxSelection","Selection via ListBox","Selezione da ListBox","通过列表框进行选择"
"Localization","Localization","Traduzioni","本地化"
"Login","Login","Accesso","登录"
"Menu","Menu","Menu","菜单"
"ObjectsDragging","Object Dragging","Trascinamento Oggetti","对象拖动"
"ON","ON","ON","开"
"OFF","OFF","OFF","关"
"OOP","Object-oriented Programming","Programmazione ad Oggetti","面向对象编程"
"PDF","PDF","PDF","PDF"
"OPCUA","OPC/UA","OPC/UA","OPC/UA"
"PieChart","Pie Chart","Grafico a Torta","饼图"
"Process","Process","Processo","过程"
"Query","Query","Query","查询"
"Recipe","Recipe","Ricetta","配方"
"RelativePosition","Relative Position","Posizionamento Relativo","相对位置"
"Retentivity","Retentivity","Ritentività","非易失性"
"RuntimeUI","Runtime UI","Grafica a Runtime","运行时 UI"
